topic,count
Advanced Memory and Neural Computing,17775
Neuroscience and Neural Engineering,3850
Electrochemical Analysis and Applications,24
Phase-change materials and chalcogenides,104
Transition Metal Oxide Nanomaterials,738
Photoreceptor and optogenetics research,1444
CCD and CMOS Imaging Sensors,1064
Ferroelectric and Negative Capacitance Devices,2900
Neural dynamics and brain function,1982
stochastic dynamics and bifurcation,1759
Neural Networks Stability and Synchronization,1592
Neural Networks and Reservoir Computing,602
Chaos control and synchronization,552
Semiconductor materials and devices,372
2D Materials and Applications,167
Cellular Automata and Applications,44
Conducting polymers and applications,477
Advancements in Semiconductor Devices and Circuit Design,55
Quantum-Dot Cellular Automata,241
GaN-based semiconductor devices and materials,3
Nonlinear Dynamics and Pattern Formation,306
Machine Learning and ELM,128
Perovskite Materials and Applications,443
Advanced Sensor and Energy Harvesting Materials,99
Chaos-based Image/Signal Encryption,217
Physical Unclonable Functions (PUFs) and Hardware Security,275
MXene and MAX Phase Materials,160
Ferroelectric and Piezoelectric Materials,45
Wireless Signal Modulation Classification,3
Neural Networks and Applications,348
Metal-Organic Frameworks: Synthesis and Applications,14
Photonic and Optical Devices,18
Distributed Control Multi-Agent Systems,78
VLSI and FPGA Design Techniques,2
Semiconductor materials and interfaces,63
Thermal Radiation and Cooling Technologies,4
Thermal properties of materials,4
Quantum and electron transport phenomena,11
Plant and Biological Electrophysiology Studies,43
Molecular Communication and Nanonetworks,44
Advanced biosensing and bioanalysis techniques,63
Nanowire Synthesis and Applications,13
Slime Mold and Myxomycetes Research,35
Nanopore and Nanochannel Transport Studies,27
Fractional Differential Equations Solutions,19
Electrohydrodynamics and Fluid Dynamics,4
Photochromic and Fluorescence Chemistry,16
Integrated Circuits and Semiconductor Failure Analysis,12
Fractal and DNA sequence analysis,23
Molecular Junctions and Nanostructures,13
Ultra-Wideband Communications Technology,6
Wireless Communication Security Techniques,7
Radio Frequency Integrated Circuit Design,11
Advanced Neural Network Applications,7
Thin-Film Transistor Technologies,18
Polydiacetylene-based materials and applications,15
Digital Media Forensic Detection,1
Advanced Steganography and Watermarking Techniques,16
Block Copolymer Self-Assembly,1
Organic Electronics and Photovoltaics,7
Multiferroics and related materials,15
Energy Harvesting in Wireless Networks,63
EEG and Brain-Computer Interfaces,25
Magnetic properties of thin films,16
Gene Regulatory Network Analysis,6
DNA and Biological Computing,13
ZnO doping and properties,32
Advanced Nanomaterials in Catalysis,7
Shape Memory Alloy Transformations,1
Gas Sensing Nanomaterials and Sensors,51
Advanced Chemical Sensor Technologies,21
Covalent Organic Framework Applications,32
Matrix Theory and Algorithms,2
Plant Molecular Biology Research,3
Metamaterials and Metasurfaces Applications,10
Luminescence and Fluorescent Materials,14
Carbon and Quantum Dots Applications,17
Network Packet Processing and Optimization,12
Caching and Content Delivery,10
Modular Robots and Swarm Intelligence,43
Analog and Mixed-Signal Circuit Design,8
Solid-state spectroscopy and crystallography,8
Insect and Arachnid Ecology and Behavior,1
Graphene research and applications,28
Ion-surface interactions and analysis,6
Advanced Image Fusion Techniques,7
Ocular and Laser Science Research,1
Advanced Photocatalysis Techniques,6
Quantum Dots Synthesis And Properties,9
Electronic and Structural Properties of Oxides,16
Full-Duplex Wireless Communications,10
Supercapacitor Materials and Fabrication,7
Low-power high-performance VLSI design,15
Emotion and Mood Recognition,2
Machine Learning in Materials Science,17
Blind Source Separation Techniques,2
Carbon Nanotubes in Composites,4
Advanced Thermoelectric Materials and Devices,7
Cryptographic Implementations and Security,8
Mechanical and Optical Resonators,6
Advanced Battery Materials and Technologies,4
Advancements in Battery Materials,11
Supramolecular Self-Assembly in Materials,5
Cybersecurity and Information Systems,14
Mercury impact and mitigation studies,2
Analytical Chemistry and Sensors,8
Ultrasonics and Acoustic Wave Propagation,4
Microwave Imaging and Scattering Analysis,3
Tactile and Sensory Interactions,5
Quantum Computing Algorithms and Architecture,27
Space Technology and Applications,1
Quantum chaos and dynamical systems,5
Chalcogenide Semiconductor Thin Films,7
Mathematical Biology Tumor Growth,2
Mathematical and Theoretical Epidemiology and Ecology Models,1
Hearing Loss and Rehabilitation,1
Dielectric materials and actuators,2
Polyoxometalates: Synthesis and Applications,15
Sulfur-Based Synthesis Techniques,1
Radiation Effects in Electronics,11
Generative Adversarial Networks and Image Synthesis,1
Advanced Image Processing Techniques,3
Animal Vocal Communication and Behavior,1
Space Science and Extraterrestrial Life,2
Nanofabrication and Lithography Techniques,3
Advanced Differential Equations and Dynamical Systems,2
Advanced DC-DC Converters,1
Stochastic Gradient Optimization Techniques,3
Advanced Research in Systems and Signal Processing,5
Gold and Silver Nanoparticles Synthesis and Applications,1
Sparse and Compressive Sensing Techniques,13
Model Reduction and Neural Networks,4
Probabilistic and Robust Engineering Design,2
Network Security and Intrusion Detection,4
Magnetic and transport properties of perovskites and related materials,10
Acoustic Wave Resonator Technologies,5
Photorefractive and Nonlinear Optics,1
Nanotechnology research and applications,3
Video Surveillance and Tracking Methods,4
Brain Tumor Detection and Classification,4
Infrared Target Detection Methodologies,2
Time Series Analysis and Forecasting,1
Evolutionary Algorithms and Applications,9
Ga2O3 and related materials,13
Lipid Membrane Structure and Behavior,1
Advanced Optical Imaging Technologies,1
Image and Video Stabilization,3
Economic and Technological Systems Analysis,2
Scientific Research and Philosophical Inquiry,1
Economic Development and Digital Transformation,1
Software-Defined Networks and 5G,2
IoT-based Smart Home Systems,7
Advanced Condensed Matter Physics,2
Linguistics and Cultural Studies,2
Cultural and Sociopolitical Studies,1
Turkish Literature and Culture,1
Hermeneutics and Narrative Identity,14
"Aging, Elder Care, and Social Issues",7
"Health, Medicine and Society",7
Olfactory and Sensory Function Studies,4
Fire Detection and Safety Systems,1
Advanced Sensor and Control Systems,4
Spectroscopy and Chemometric Analyses,1
Insect Pheromone Research and Control,2
Industrial Technology and Control Systems,7
Smart Grid Security and Resilience,1
Advanced Electron Microscopy Techniques and Applications,1
Engineering and Technology Innovations,1
Experimental Learning in Engineering,1
Near-Field Optical Microscopy,1
Advanced Algorithms and Applications,15
Adversarial Robustness in Machine Learning,7
IoT and Edge/Fog Computing,2
Spectroscopy and Quantum Chemical Studies,2
Quantum Information and Cryptography,3
3D IC and TSV technologies,1
Industrial Vision Systems and Defect Detection,2
VLSI and Analog Circuit Testing,3
Thermography and Photoacoustic Techniques,3
Mosquito-borne diseases and control,3
Retinal Imaging and Analysis,2
Cognitive Computing and Networks,2
Organic and Molecular Conductors Research,2
Parallel Computing and Optimization Techniques,23
Advanced Wireless Communication Technologies,5
Electrical Contact Performance and Analysis,1
Advanced Theoretical and Applied Studies in Material Sciences and Geometry,1
Electric Power Systems and Control,2
Interconnection Networks and Systems,4
Error Correcting Code Techniques,2
Graph theory and applications,2
Copper-based nanomaterials and applications,5
Electrocatalysts for Energy Conversion,7
Image Enhancement Techniques,2
Visual Attention and Saliency Detection,3
Advanced Battery Technologies Research,9
Chemical and Physical Properties of Materials,1
Magneto-Optical Properties and Applications,1
Advanced Materials and Mechanics,4
Micro and Nano Robotics,1
Electromagnetic Simulation and Numerical Methods,4
Electromagnetic Scattering and Analysis,2
Microwave Engineering and Waveguides,3
Functional Brain Connectivity Studies,2
Fetal and Pediatric Neurological Disorders,1
Congenital heart defects research,1
Robotics and Automated Systems,3
Physics of Superconductivity and Magnetism,7
Fullerene Chemistry and Applications,1
Neuroscience and Neuropharmacology Research,2
Advanced Antenna and Metasurface Technologies,1
Image Processing Techniques and Applications,1
Wireless Body Area Networks,1
Advanced Decision-Making Techniques,3
Smart Grid and Power Systems,1
Silicon Nanostructures and Photoluminescence,6
TiO2 Photocatalysis and Solar Cells,1
Fuel Cells and Related Materials,4
bioluminescence and chemiluminescence research,2
Planarian Biology and Electrostimulation,2
